fold,split,task_id,impl_index,similarity,distance,distance_norm
fold_0,fit,BigCodeBench/627,1,0.9960549,160,0.3448275862
fold_0,fit,BigCodeBench/425,1,0.9892604,405,0.75
fold_0,fit,BigCodeBench/1021,1,0.99700046,173,0.3197781885
fold_0,fit,BigCodeBench/651,1,0.98702216,405,0.8766233766
fold_0,fit,BigCodeBench/158,1,0.94176936,615,1.824925816
fold_0,fit,BigCodeBench/90,1,0.99569535,315,0.3539325843
fold_0,fit,BigCodeBench/793,1,0.9946239,194,0.6100628931
fold_0,fit,BigCodeBench/84,1,0.9984081,1030,0.6816677697
fold_0,fit,BigCodeBench/474,1,0.9925102,491,0.7868589744
fold_0,fit,BigCodeBench/434,1,0.9956054,586,0.5830845771
fold_0,fit,BigCodeBench/290,1,0.97626173,500,0.8865248227
fold_0,fit,BigCodeBench/1103,1,0.98220676,421,0.8127413127
fold_0,fit,BigCodeBench/1019,1,0.99732274,575,0.5502392344
fold_0,fit,BigCodeBench/387,1,0.9910227,508,0.7195467422
fold_0,fit,BigCodeBench/181,1,0.9952094,75,0.25
fold_0,fit,BigCodeBench/385,1,0.9879762,364,0.7193675889
fold_0,fit,BigCodeBench/463,1,0.98896456,310,0.8781869688
fold_0,fit,BigCodeBench/801,1,0.9866001,492,0.6657645467
fold_0,fit,BigCodeBench/473,1,0.98789424,425,0.8095238095
fold_0,fit,BigCodeBench/800,1,0.98796695,552,0.5168539326
fold_0,fit,BigCodeBench/601,1,0.988863,446,0.5930851064
fold_0,fit,BigCodeBench/248,1,0.9874482,360,0.8450704225
fold_0,fit,BigCodeBench/39,1,0.9854618,471,0.7158054711
fold_0,fit,BigCodeBench/44,1,0.96427363,533,1.625
fold_0,fit,BigCodeBench/322,1,0.9934503,370,0.5354558611
fold_0,fit,BigCodeBench/449,1,0.9883871,602,0.9333333333
fold_0,fit,BigCodeBench/94,1,0.99767363,170,0.3177570093
fold_0,fit,BigCodeBench/1004,1,0.99336445,280,0.4753820034
fold_0,fit,BigCodeBench/901,1,0.9622343,178,0.4278846154
fold_0,fit,BigCodeBench/152,1,0.9957715,252,0.4104234528
fold_0,fit,BigCodeBench/765,1,0.9924959,217,0.4558823529
fold_0,fit,BigCodeBench/964,1,0.9977065,857,0.5774932615
fold_0,fit,BigCodeBench/835,1,0.99668354,51,0.1598746082
fold_0,fit,BigCodeBench/1071,1,0.99195635,174,0.4213075061
fold_0,fit,BigCodeBench/570,1,0.9615502,699,1.599542334
fold_0,fit,BigCodeBench/372,1,0.98500454,310,0.685840708
fold_0,fit,BigCodeBench/79,1,0.98781735,364,0.6408450704
fold_0,fit,BigCodeBench/1046,1,0.99174124,177,0.4694960212
fold_0,fit,BigCodeBench/6,1,0.9529389,322,1.025477707
fold_0,fit,BigCodeBench/12,1,0.98650825,714,0.9153846154
fold_0,fit,BigCodeBench/942,1,0.99685156,388,0.4154175589
fold_0,fit,BigCodeBench/65,1,0.98852396,351,0.7597402597
fold_0,fit,BigCodeBench/231,1,0.9968441,389,0.4390519187
fold_0,fit,BigCodeBench/1090,1,0.99247813,247,0.5404814004
fold_0,fit,BigCodeBench/576,1,0.9808204,298,0.5498154982
fold_0,validate,BigCodeBench/728,1,0.993241,317,0.4330601093
fold_0,validate,BigCodeBench/1098,1,0.98262566,257,1.117391304
fold_0,validate,BigCodeBench/871,1,0.99339306,371,0.5993537964
fold_0,validate,BigCodeBench/503,1,0.993232,340,0.467032967
fold_0,validate,BigCodeBench/1067,1,0.99395454,383,0.490396927
fold_0,validate,BigCodeBench/255,1,0.9765167,492,1.308510638
fold_0,validate,BigCodeBench/468,1,0.96820647,443,1.917748918
fold_0,validate,BigCodeBench/802,1,0.9849731,204,0.4646924829
fold_0,validate,BigCodeBench/1066,1,0.9948799,333,0.4416445623
fold_0,validate,BigCodeBench/356,1,0.99462366,453,0.5153583618
fold_0,validate,BigCodeBench/457,1,0.94858027,614,1.795321637
fold_0,validate,BigCodeBench/56,1,0.9710612,373,0.9738903394
fold_0,validate,BigCodeBench/810,1,0.98283935,766,1.274542429
fold_0,validate,BigCodeBench/324,1,0.985431,447,0.8481973435
fold_0,validate,BigCodeBench/899,1,0.99213314,112,0.357827476
fold_0,validate,BigCodeBench/1016,1,0.9927572,711,0.7547770701
fold_0,validate,BigCodeBench/235,1,0.9926621,473,0.5726392252
fold_0,validate,BigCodeBench/428,1,0.99052405,252,0.3529411765
