fold,split,task_id,sims
fold_0,fit,BigCodeBench/627,[0.9960549]
fold_0,fit,BigCodeBench/425,[0.9892604]
fold_0,fit,BigCodeBench/1021,[0.99700046]
fold_0,fit,BigCodeBench/651,[0.98702216]
fold_0,fit,BigCodeBench/158,[0.94176936]
fold_0,fit,BigCodeBench/90,[0.99569535]
fold_0,fit,BigCodeBench/793,[0.9946239]
fold_0,fit,BigCodeBench/84,[0.9984081]
fold_0,fit,BigCodeBench/474,[0.9925102]
fold_0,fit,BigCodeBench/434,[0.9956054]
fold_0,fit,BigCodeBench/290,[0.97626173]
fold_0,fit,BigCodeBench/1103,[0.98220676]
fold_0,fit,BigCodeBench/1019,[0.99732274]
fold_0,fit,BigCodeBench/387,[0.9910227]
fold_0,fit,BigCodeBench/181,[0.9952094]
fold_0,fit,BigCodeBench/385,[0.9879762]
fold_0,fit,BigCodeBench/463,[0.98896456]
fold_0,fit,BigCodeBench/801,[0.9866001]
fold_0,fit,BigCodeBench/473,[0.98789424]
fold_0,fit,BigCodeBench/800,[0.98796695]
fold_0,fit,BigCodeBench/601,[0.988863]
fold_0,fit,BigCodeBench/248,[0.9874482]
fold_0,fit,BigCodeBench/39,[0.9854618]
fold_0,fit,BigCodeBench/44,[0.96427363]
fold_0,fit,BigCodeBench/322,[0.9934503]
fold_0,fit,BigCodeBench/449,[0.9883871]
fold_0,fit,BigCodeBench/94,[0.99767363]
fold_0,fit,BigCodeBench/1004,[0.99336445]
fold_0,fit,BigCodeBench/901,[0.9622343]
fold_0,fit,BigCodeBench/152,[0.9957715]
fold_0,fit,BigCodeBench/765,[0.9924959]
fold_0,fit,BigCodeBench/964,[0.9977065]
fold_0,fit,BigCodeBench/835,[0.99668354]
fold_0,fit,BigCodeBench/1071,[0.99195635]
fold_0,fit,BigCodeBench/570,[0.9615502]
fold_0,fit,BigCodeBench/372,[0.98500454]
fold_0,fit,BigCodeBench/79,[0.98781735]
fold_0,fit,BigCodeBench/1046,[0.99174124]
fold_0,fit,BigCodeBench/6,[0.9529389]
fold_0,fit,BigCodeBench/12,[0.98650825]
fold_0,fit,BigCodeBench/942,[0.99685156]
fold_0,fit,BigCodeBench/65,[0.98852396]
fold_0,fit,BigCodeBench/231,[0.9968441]
fold_0,fit,BigCodeBench/1090,[0.99247813]
fold_0,fit,BigCodeBench/576,[0.9808204]
fold_0,validate,BigCodeBench/728,[0.993241]
fold_0,validate,BigCodeBench/1098,[0.98262566]
fold_0,validate,BigCodeBench/871,[0.99339306]
fold_0,validate,BigCodeBench/503,[0.993232]
fold_0,validate,BigCodeBench/1067,[0.99395454]
fold_0,validate,BigCodeBench/255,[0.9765167]
fold_0,validate,BigCodeBench/468,[0.96820647]
fold_0,validate,BigCodeBench/802,[0.9849731]
fold_0,validate,BigCodeBench/1066,[0.9948799]
fold_0,validate,BigCodeBench/356,[0.99462366]
fold_0,validate,BigCodeBench/457,[0.94858027]
fold_0,validate,BigCodeBench/56,[0.9710612]
fold_0,validate,BigCodeBench/810,[0.98283935]
fold_0,validate,BigCodeBench/324,[0.985431]
fold_0,validate,BigCodeBench/899,[0.99213314]
fold_0,validate,BigCodeBench/1016,[0.9927572]
fold_0,validate,BigCodeBench/235,[0.9926621]
fold_0,validate,BigCodeBench/428,[0.99052405]
fold_0,validate,BigCodeBench/190,[0.9842347]
fold_0,validate,BigCodeBench/319,[0.99666595]
fold_0,validate,BigCodeBench/155,[0.99002004]
fold_0,validate,BigCodeBench/31,[0.97561944]
fold_0,validate,BigCodeBench/509,[0.99777716]
fold_0,validate,BigCodeBench/564,[0.96985763]
fold_0,validate,BigCodeBench/522,[0.9954433]
fold_0,validate,BigCodeBench/267,[0.9941208]
fold_0,validate,BigCodeBench/737,[0.96879]
fold_0,validate,BigCodeBench/723,[0.9852405]
fold_0,validate,BigCodeBench/182,[0.99126685]
fold_0,validate,BigCodeBench/378,[0.99752957]
fold_0,validate,BigCodeBench/617,[0.9976561]
fold_0,validate,BigCodeBench/526,[0.997156]
fold_0,validate,BigCodeBench/892,[0.99460435]
fold_0,validate,BigCodeBench/935,[0.9752314]
fold_0,validate,BigCodeBench/242,[0.9917794]
fold_0,validate,BigCodeBench/411,[0.9916818]
fold_0,validate,BigCodeBench/13,[0.99892586]
fold_0,validate,BigCodeBench/264,[0.99174964]
fold_0,validate,BigCodeBench/63,[0.99040425]
fold_0,validate,BigCodeBench/1114,[0.99549097]
fold_0,validate,BigCodeBench/1001,[0.99568427]
fold_0,validate,BigCodeBench/725,[0.9713721]
fold_0,validate,BigCodeBench/568,[0.9881024]
fold_0,validate,BigCodeBench/399,[0.99414885]
fold_0,validate,BigCodeBench/1069,[0.9789866]
fold_0,test,BigCodeBench/208,"[0.9779332, 0.97157025, 0.9916962]"
fold_0,test,BigCodeBench/475,"[0.99484634, 0.9952084, 0.9927457]"
fold_0,test,BigCodeBench/439,"[0.98111904, 0.9671175, 0.98745453]"
fold_0,test,BigCodeBench/173,"[0.99413526, 0.98439074, 0.97293216]"
fold_0,test,BigCodeBench/985,"[0.9979065, 0.99677235, 0.99660647]"
fold_0,test,BigCodeBench/909,"[0.9956575, 0.99260765, 0.993535]"
fold_0,test,BigCodeBench/713,"[0.99527377, 0.9930651, 0.9963771]"
fold_0,test,BigCodeBench/594,"[0.99571, 0.9940923, 0.99247015]"
fold_0,test,BigCodeBench/360,"[0.9915947, 0.99157274, 0.9971768]"
fold_0,test,BigCodeBench/203,"[0.99564254, 0.99503237, 0.995004]"
fold_0,test,BigCodeBench/822,"[0.9967843, 0.9934212, 0.9959737]"
fold_0,test,BigCodeBench/314,"[0.9799868, 0.98068243, 0.9664656]"
fold_0,test,BigCodeBench/491,"[0.9977473, 0.99362767, 0.9969068]"
fold_0,test,BigCodeBench/933,"[0.9924652, 0.9944236, 0.9774184]"
fold_0,test,BigCodeBench/1015,"[0.99621356, 0.99129593, 0.9972838]"
fold_0,test,BigCodeBench/1137,"[0.9838178, 0.9789426, 0.9910048]"
fold_0,test,BigCodeBench/507,"[0.97881246, 0.9901747, 0.9857335]"
fold_0,test,BigCodeBench/1123,"[0.98978776, 0.98881257, 0.9800482]"
fold_0,test,BigCodeBench/270,"[0.99241567, 0.9941354, 0.9941354]"
fold_0,test,BigCodeBench/1065,"[0.9927033, 0.9797386, 0.9873961]"
fold_0,test,BigCodeBench/720,"[0.9932128, 0.9861001, 0.991786]"
fold_0,test,BigCodeBench/88,"[0.9872357, 0.9763347, 0.9815351]"
fold_0,test,BigCodeBench/435,"[0.9908033, 0.98932695, 0.9898512]"
fold_0,test,BigCodeBench/946,"[0.9951926, 0.9877236, 0.9915467]"
fold_0,test,BigCodeBench/875,"[0.9733022, 0.99225754, 0.98385525]"
fold_0,test,BigCodeBench/232,"[0.97714245, 0.9800936, 0.9757552]"
fold_0,test,BigCodeBench/565,"[0.95355594, 0.9718883, 0.9600588]"
fold_0,test,BigCodeBench/402,"[0.94490165, 0.96587074, 0.95494515]"
fold_0,test,BigCodeBench/1113,"[0.9802851, 0.99458957, 0.9935125]"
fold_0,test,BigCodeBench/1044,"[0.99134755, 0.9943515, 0.9947184]"
fold_0,test,BigCodeBench/1030,"[0.9974757, 0.9939367, 0.9961526]"
fold_0,test,BigCodeBench/918,"[0.98777294, 0.97441036, 0.9841902]"
fold_0,test,BigCodeBench/597,"[0.97636354, 0.9875643, 0.99484396]"
fold_0,test,BigCodeBench/697,"[0.9611241, 0.977785, 0.9814793]"
fold_0,test,BigCodeBench/929,"[0.9805378, 0.98551357, 0.98145044]"
fold_0,test,BigCodeBench/944,"[0.99717736, 0.9971524, 0.991581]"
fold_0,test,BigCodeBench/701,"[0.9608158, 0.9721614, 0.96873504]"
