fold,split,task_id,impl_index,sim
fold_0,fit,BigCodeBench/627,1,0.9960549
fold_0,fit,BigCodeBench/425,1,0.9892604
fold_0,fit,BigCodeBench/1021,1,0.99700046
fold_0,fit,BigCodeBench/651,1,0.98702216
fold_0,fit,BigCodeBench/158,1,0.94176936
fold_0,fit,BigCodeBench/90,1,0.99569535
fold_0,fit,BigCodeBench/793,1,0.9946239
fold_0,fit,BigCodeBench/84,1,0.9984081
fold_0,fit,BigCodeBench/474,1,0.9925102
fold_0,fit,BigCodeBench/434,1,0.9956054
fold_0,fit,BigCodeBench/290,1,0.97626173
fold_0,fit,BigCodeBench/1103,1,0.98220676
fold_0,fit,BigCodeBench/1019,1,0.99732274
fold_0,fit,BigCodeBench/387,1,0.9910227
fold_0,fit,BigCodeBench/181,1,0.9952094
fold_0,fit,BigCodeBench/385,1,0.9879762
fold_0,fit,BigCodeBench/463,1,0.98896456
fold_0,fit,BigCodeBench/801,1,0.9866001
fold_0,fit,BigCodeBench/473,1,0.98789424
fold_0,fit,BigCodeBench/800,1,0.98796695
fold_0,fit,BigCodeBench/601,1,0.988863
fold_0,fit,BigCodeBench/248,1,0.9874482
fold_0,fit,BigCodeBench/39,1,0.9854618
fold_0,fit,BigCodeBench/44,1,0.96427363
fold_0,fit,BigCodeBench/322,1,0.9934503
fold_0,fit,BigCodeBench/449,1,0.9883871
fold_0,fit,BigCodeBench/94,1,0.99767363
fold_0,fit,BigCodeBench/1004,1,0.99336445
fold_0,fit,BigCodeBench/901,1,0.9622343
fold_0,fit,BigCodeBench/152,1,0.9957715
fold_0,fit,BigCodeBench/765,1,0.9924959
fold_0,fit,BigCodeBench/964,1,0.9977065
fold_0,fit,BigCodeBench/835,1,0.99668354
fold_0,fit,BigCodeBench/1071,1,0.99195635
fold_0,fit,BigCodeBench/570,1,0.9615502
fold_0,fit,BigCodeBench/372,1,0.98500454
fold_0,fit,BigCodeBench/79,1,0.98781735
fold_0,fit,BigCodeBench/1046,1,0.99174124
fold_0,fit,BigCodeBench/6,1,0.9529389
fold_0,fit,BigCodeBench/12,1,0.98650825
fold_0,fit,BigCodeBench/942,1,0.99685156
fold_0,fit,BigCodeBench/65,1,0.98852396
fold_0,fit,BigCodeBench/231,1,0.9968441
fold_0,fit,BigCodeBench/1090,1,0.99247813
fold_0,fit,BigCodeBench/576,1,0.9808204
fold_0,validate,BigCodeBench/728,1,0.993241
fold_0,validate,BigCodeBench/1098,1,0.98262566
fold_0,validate,BigCodeBench/871,1,0.99339306
fold_0,validate,BigCodeBench/503,1,0.993232
fold_0,validate,BigCodeBench/1067,1,0.99395454
fold_0,validate,BigCodeBench/255,1,0.9765167
fold_0,validate,BigCodeBench/468,1,0.96820647
fold_0,validate,BigCodeBench/802,1,0.9849731
fold_0,validate,BigCodeBench/1066,1,0.9948799
fold_0,validate,BigCodeBench/356,1,0.99462366
fold_0,validate,BigCodeBench/457,1,0.94858027
fold_0,validate,BigCodeBench/56,1,0.9710612
fold_0,validate,BigCodeBench/810,1,0.98283935
fold_0,validate,BigCodeBench/324,1,0.985431
fold_0,validate,BigCodeBench/899,1,0.99213314
fold_0,validate,BigCodeBench/1016,1,0.9927572
fold_0,validate,BigCodeBench/235,1,0.9926621
fold_0,validate,BigCodeBench/428,1,0.99052405
fold_0,validate,BigCodeBench/190,1,0.9842347
fold_0,validate,BigCodeBench/319,1,0.99666595
fold_0,validate,BigCodeBench/155,1,0.99002004
fold_0,validate,BigCodeBench/31,1,0.97561944
fold_0,validate,BigCodeBench/509,1,0.99777716
fold_0,validate,BigCodeBench/564,1,0.96985763
fold_0,validate,BigCodeBench/522,1,0.9954433
fold_0,validate,BigCodeBench/267,1,0.9941208
fold_0,validate,BigCodeBench/737,1,0.96879
fold_0,validate,BigCodeBench/723,1,0.9852405
fold_0,validate,BigCodeBench/182,1,0.99126685
fold_0,validate,BigCodeBench/378,1,0.99752957
fold_0,validate,BigCodeBench/617,1,0.9976561
fold_0,validate,BigCodeBench/526,1,0.997156
fold_0,validate,BigCodeBench/892,1,0.99460435
fold_0,validate,BigCodeBench/935,1,0.9752314
fold_0,validate,BigCodeBench/242,1,0.9917794
fold_0,validate,BigCodeBench/411,1,0.9916818
fold_0,validate,BigCodeBench/13,1,0.99892586
fold_0,validate,BigCodeBench/264,1,0.99174964
fold_0,validate,BigCodeBench/63,1,0.99040425
fold_0,validate,BigCodeBench/1114,1,0.99549097
fold_0,validate,BigCodeBench/1001,1,0.99568427
fold_0,validate,BigCodeBench/725,1,0.9713721
fold_0,validate,BigCodeBench/568,1,0.9881024
fold_0,validate,BigCodeBench/399,1,0.99414885
fold_0,validate,BigCodeBench/1069,1,0.9789866
fold_0,test,BigCodeBench/208,1,0.9779332
fold_0,test,BigCodeBench/208,2,0.97157025
fold_0,test,BigCodeBench/208,3,0.9916962
fold_0,test,BigCodeBench/475,1,0.99484634
fold_0,test,BigCodeBench/475,2,0.9952084
fold_0,test,BigCodeBench/475,3,0.9927457
fold_0,test,BigCodeBench/439,1,0.98111904
fold_0,test,BigCodeBench/439,2,0.9671175
fold_0,test,BigCodeBench/439,3,0.98745453
fold_0,test,BigCodeBench/173,1,0.99413526
fold_0,test,BigCodeBench/173,2,0.98439074
fold_0,test,BigCodeBench/173,3,0.97293216
fold_0,test,BigCodeBench/985,1,0.9979065
fold_0,test,BigCodeBench/985,2,0.99677235
fold_0,test,BigCodeBench/985,3,0.99660647
fold_0,test,BigCodeBench/909,1,0.9956575
fold_0,test,BigCodeBench/909,2,0.99260765
fold_0,test,BigCodeBench/909,3,0.993535
fold_0,test,BigCodeBench/713,1,0.99527377
fold_0,test,BigCodeBench/713,2,0.9930651
fold_0,test,BigCodeBench/713,3,0.9963771
fold_0,test,BigCodeBench/594,1,0.99571
fold_0,test,BigCodeBench/594,2,0.9940923
fold_0,test,BigCodeBench/594,3,0.99247015
fold_0,test,BigCodeBench/360,1,0.9915947
fold_0,test,BigCodeBench/360,2,0.99157274
fold_0,test,BigCodeBench/360,3,0.9971768
fold_0,test,BigCodeBench/203,1,0.99564254
fold_0,test,BigCodeBench/203,2,0.99503237
fold_0,test,BigCodeBench/203,3,0.995004
fold_0,test,BigCodeBench/822,1,0.9967843
fold_0,test,BigCodeBench/822,2,0.9934212
fold_0,test,BigCodeBench/822,3,0.9959737
fold_0,test,BigCodeBench/314,1,0.9799868
fold_0,test,BigCodeBench/314,2,0.98068243
fold_0,test,BigCodeBench/314,3,0.9664656
fold_0,test,BigCodeBench/491,1,0.9977473
fold_0,test,BigCodeBench/491,2,0.99362767
fold_0,test,BigCodeBench/491,3,0.9969068
fold_0,test,BigCodeBench/933,1,0.9924652
fold_0,test,BigCodeBench/933,2,0.9944236
fold_0,test,BigCodeBench/933,3,0.9774184
fold_0,test,BigCodeBench/1015,1,0.99621356
fold_0,test,BigCodeBench/1015,2,0.99129593
fold_0,test,BigCodeBench/1015,3,0.9972838
fold_0,test,BigCodeBench/1137,1,0.9838178
fold_0,test,BigCodeBench/1137,2,0.9789426
fold_0,test,BigCodeBench/1137,3,0.9910048
fold_0,test,BigCodeBench/507,1,0.97881246
fold_0,test,BigCodeBench/507,2,0.9901747
fold_0,test,BigCodeBench/507,3,0.9857335
fold_0,test,BigCodeBench/1123,1,0.98978776
fold_0,test,BigCodeBench/1123,2,0.98881257
fold_0,test,BigCodeBench/1123,3,0.9800482
fold_0,test,BigCodeBench/270,1,0.99241567
fold_0,test,BigCodeBench/270,2,0.9941354
fold_0,test,BigCodeBench/270,3,0.9941354
fold_0,test,BigCodeBench/1065,1,0.9927033
fold_0,test,BigCodeBench/1065,2,0.9797386
fold_0,test,BigCodeBench/1065,3,0.9873961
fold_0,test,BigCodeBench/720,1,0.9932128
fold_0,test,BigCodeBench/720,2,0.9861001
fold_0,test,BigCodeBench/720,3,0.991786
fold_0,test,BigCodeBench/88,1,0.9872357
fold_0,test,BigCodeBench/88,2,0.9763347
fold_0,test,BigCodeBench/88,3,0.9815351
fold_0,test,BigCodeBench/435,1,0.9908033
fold_0,test,BigCodeBench/435,2,0.98932695
fold_0,test,BigCodeBench/435,3,0.9898512
fold_0,test,BigCodeBench/946,1,0.9951926
fold_0,test,BigCodeBench/946,2,0.9877236
fold_0,test,BigCodeBench/946,3,0.9915467
fold_0,test,BigCodeBench/875,1,0.9733022
fold_0,test,BigCodeBench/875,2,0.99225754
fold_0,test,BigCodeBench/875,3,0.98385525
fold_0,test,BigCodeBench/232,1,0.97714245
fold_0,test,BigCodeBench/232,2,0.9800936
fold_0,test,BigCodeBench/232,3,0.9757552
fold_0,test,BigCodeBench/565,1,0.95355594
fold_0,test,BigCodeBench/565,2,0.9718883
fold_0,test,BigCodeBench/565,3,0.9600588
fold_0,test,BigCodeBench/402,1,0.94490165
fold_0,test,BigCodeBench/402,2,0.96587074
fold_0,test,BigCodeBench/402,3,0.95494515
fold_0,test,BigCodeBench/1113,1,0.9802851
fold_0,test,BigCodeBench/1113,2,0.99458957
fold_0,test,BigCodeBench/1113,3,0.9935125
fold_0,test,BigCodeBench/1044,1,0.99134755
fold_0,test,BigCodeBench/1044,2,0.9943515
fold_0,test,BigCodeBench/1044,3,0.9947184
fold_0,test,BigCodeBench/1030,1,0.9974757
fold_0,test,BigCodeBench/1030,2,0.9939367
fold_0,test,BigCodeBench/1030,3,0.9961526
fold_0,test,BigCodeBench/918,1,0.98777294
fold_0,test,BigCodeBench/918,2,0.97441036
fold_0,test,BigCodeBench/918,3,0.9841902
fold_0,test,BigCodeBench/597,1,0.97636354
fold_0,test,BigCodeBench/597,2,0.9875643
fold_0,test,BigCodeBench/597,3,0.99484396
fold_0,test,BigCodeBench/697,1,0.9611241
fold_0,test,BigCodeBench/697,2,0.977785
fold_0,test,BigCodeBench/697,3,0.9814793
fold_0,test,BigCodeBench/929,1,0.9805378
fold_0,test,BigCodeBench/929,2,0.98551357
fold_0,test,BigCodeBench/929,3,0.98145044
fold_0,test,BigCodeBench/944,1,0.99717736
fold_0,test,BigCodeBench/944,2,0.9971524
fold_0,test,BigCodeBench/944,3,0.991581
fold_0,test,BigCodeBench/701,1,0.9608158
fold_0,test,BigCodeBench/701,2,0.9721614
fold_0,test,BigCodeBench/701,3,0.96873504
fold_0,test,BigCodeBench/246,1,0.9923842
fold_0,test,BigCodeBench/246,2,0.9945195
fold_0,test,BigCodeBench/246,3,0.99676377
fold_0,test,BigCodeBench/986,1,0.9881961
fold_0,test,BigCodeBench/986,2,0.99701977
fold_0,test,BigCodeBench/986,3,0.99506414
fold_0,test,BigCodeBench/913,1,0.97620654
fold_0,test,BigCodeBench/913,2,0.96870345
fold_0,test,BigCodeBench/913,3,0.98489624
fold_0,test,BigCodeBench/89,1,0.9912143
fold_0,test,BigCodeBench/89,2,0.98350877
fold_0,test,BigCodeBench/89,3,0.9976055
fold_0,test,BigCodeBench/388,1,0.9619478
fold_0,test,BigCodeBench/388,2,0.95936817
fold_0,test,BigCodeBench/388,3,0.9879021
fold_0,test,BigCodeBench/584,1,0.9909598
fold_0,test,BigCodeBench/584,2,0.9909999
fold_0,test,BigCodeBench/584,3,0.998423
fold_0,test,BigCodeBench/1009,1,0.9755358
fold_0,test,BigCodeBench/1009,2,0.9765639
fold_0,test,BigCodeBench/1009,3,0.9728887
fold_0,test,BigCodeBench/1105,1,0.9968136
fold_0,test,BigCodeBench/1105,2,0.97708076
fold_0,test,BigCodeBench/1105,3,0.9974846
fold_0,test,BigCodeBench/237,1,0.9972817
fold_0,test,BigCodeBench/237,2,0.9944724
fold_0,test,BigCodeBench/237,3,0.99633116
fold_0,test,BigCodeBench/412,1,0.96803325
fold_0,test,BigCodeBench/412,2,0.96821946
fold_0,test,BigCodeBench/412,3,0.94463074
fold_0,test,BigCodeBench/15,1,0.9966738
fold_0,test,BigCodeBench/15,2,0.9877617
fold_0,test,BigCodeBench/15,3,0.9968635
fold_0,test,BigCodeBench/81,1,0.52539444
fold_0,test,BigCodeBench/81,2,0.9578327
fold_0,test,BigCodeBench/81,3,0.9965031
fold_0,test,BigCodeBench/204,1,0.96609205
fold_0,test,BigCodeBench/204,2,0.9650427
fold_0,test,BigCodeBench/204,3,0.9870055
fold_0,test,BigCodeBench/154,1,0.9965068
fold_0,test,BigCodeBench/154,2,0.9805284
fold_0,test,BigCodeBench/154,3,0.9917026
fold_0,test,BigCodeBench/1064,1,0.94304764
fold_0,test,BigCodeBench/1064,2,0.96369886
fold_0,test,BigCodeBench/1064,3,0.96184516
fold_0,test,BigCodeBench/344,1,0.9939338
fold_0,test,BigCodeBench/344,2,0.989853
fold_0,test,BigCodeBench/344,3,0.9827386
fold_0,test,BigCodeBench/941,1,0.9902732
fold_0,test,BigCodeBench/941,2,0.99343723
fold_0,test,BigCodeBench/941,3,0.99766076
fold_0,test,BigCodeBench/606,1,0.9971078
fold_0,test,BigCodeBench/606,2,0.9912035
fold_0,test,BigCodeBench/606,3,0.9915563
fold_0,test,BigCodeBench/46,1,0.96541196
fold_0,test,BigCodeBench/46,2,0.9482368
fold_0,test,BigCodeBench/46,3,0.9524649
fold_0,test,BigCodeBench/1056,1,0.99505985
fold_0,test,BigCodeBench/1056,2,0.9864463
fold_0,test,BigCodeBench/1056,3,0.9795357
fold_0,test,BigCodeBench/602,1,0.99047995
fold_0,test,BigCodeBench/602,2,0.98028183
fold_0,test,BigCodeBench/602,3,0.98665076
fold_0,test,BigCodeBench/785,1,0.99653876
fold_0,test,BigCodeBench/785,2,0.9967809
fold_0,test,BigCodeBench/785,3,0.9954348
fold_0,test,BigCodeBench/583,1,0.99777097
fold_0,test,BigCodeBench/583,2,0.989038
fold_0,test,BigCodeBench/583,3,0.9960938
fold_0,test,BigCodeBench/1005,1,0.9849087
fold_0,test,BigCodeBench/1005,2,0.98774076
fold_0,test,BigCodeBench/1005,3,0.99260116
fold_0,test,BigCodeBench/1012,1,0.9967164
fold_0,test,BigCodeBench/1012,2,0.99771196
fold_0,test,BigCodeBench/1012,3,0.9954457
fold_0,test,BigCodeBench/103,1,0.9921703
fold_0,test,BigCodeBench/103,2,0.9914714
fold_0,test,BigCodeBench/103,3,0.99187165
fold_0,test,BigCodeBench/973,1,0.9962716
fold_0,test,BigCodeBench/973,2,0.98881817
fold_0,test,BigCodeBench/973,3,0.99592066
fold_0,test,BigCodeBench/202,1,0.9847752
fold_0,test,BigCodeBench/202,2,0.9645133
fold_0,test,BigCodeBench/202,3,0.9917782
fold_0,test,BigCodeBench/881,1,0.99207425
fold_0,test,BigCodeBench/881,2,0.97419417
fold_0,test,BigCodeBench/881,3,0.96197
fold_0,test,BigCodeBench/195,1,0.96328914
fold_0,test,BigCodeBench/195,2,0.9530014
fold_0,test,BigCodeBench/195,3,0.9899155
fold_0,test,BigCodeBench/894,1,0.99470615
fold_0,test,BigCodeBench/894,2,0.99091303
fold_0,test,BigCodeBench/894,3,0.995971
fold_0,test,BigCodeBench/320,1,0.9876075
fold_0,test,BigCodeBench/320,2,0.97788984
fold_0,test,BigCodeBench/320,3,0.9837393
fold_0,test,BigCodeBench/224,1,0.98859155
fold_0,test,BigCodeBench/224,2,0.9901984
fold_0,test,BigCodeBench/224,3,0.9930758
fold_0,test,BigCodeBench/397,1,0.9557624
fold_0,test,BigCodeBench/397,2,0.96743274
fold_0,test,BigCodeBench/397,3,0.97115415
fold_0,test,BigCodeBench/1094,1,0.99345744
fold_0,test,BigCodeBench/1094,2,0.99291587
fold_0,test,BigCodeBench/1094,3,0.9885777
fold_0,test,BigCodeBench/715,1,0.95108014
fold_0,test,BigCodeBench/715,2,0.93842196
fold_0,test,BigCodeBench/715,3,0.9666093
fold_0,test,BigCodeBench/989,1,0.9893745
fold_0,test,BigCodeBench/989,2,0.9969837
fold_0,test,BigCodeBench/989,3,0.9941591
fold_0,test,BigCodeBench/1040,1,0.99896866
fold_0,test,BigCodeBench/1040,2,0.9983479
fold_0,test,BigCodeBench/1040,3,0.9960343
fold_0,test,BigCodeBench/914,1,0.994211
fold_0,test,BigCodeBench/914,2,0.99018973
fold_0,test,BigCodeBench/914,3,0.99125147
fold_0,test,BigCodeBench/524,1,0.99693143
fold_0,test,BigCodeBench/524,2,0.9963276
fold_0,test,BigCodeBench/524,3,0.99625885
fold_0,test,BigCodeBench/440,1,0.9964354
fold_0,test,BigCodeBench/440,2,0.997593
fold_0,test,BigCodeBench/440,3,0.99360085
fold_0,test,BigCodeBench/975,1,0.99619
fold_0,test,BigCodeBench/975,2,0.9950428
fold_0,test,BigCodeBench/975,3,0.99277955
fold_0,test,BigCodeBench/85,1,0.98979175
fold_0,test,BigCodeBench/85,2,0.990057
fold_0,test,BigCodeBench/85,3,0.989413
fold_0,test,BigCodeBench/219,1,0.96788126
fold_0,test,BigCodeBench/219,2,0.98886746
fold_0,test,BigCodeBench/219,3,0.98348
fold_0,test,BigCodeBench/567,1,0.98618346
fold_0,test,BigCodeBench/567,2,0.9909481
fold_0,test,BigCodeBench/567,3,0.97585636
fold_0,test,BigCodeBench/493,1,0.9974874
fold_0,test,BigCodeBench/493,2,0.9975795
fold_0,test,BigCodeBench/493,3,0.9969755
fold_0,test,BigCodeBench/49,1,0.9946648
fold_0,test,BigCodeBench/49,2,0.9836633
fold_0,test,BigCodeBench/49,3,0.99535733
fold_0,test,BigCodeBench/934,1,0.98383653
fold_0,test,BigCodeBench/934,2,0.9896773
fold_0,test,BigCodeBench/934,3,0.9894784
fold_0,test,BigCodeBench/124,1,0.99783194
fold_0,test,BigCodeBench/124,2,0.99492943
fold_0,test,BigCodeBench/124,3,0.9983681
fold_0,test,BigCodeBench/386,1,0.9836974
fold_0,test,BigCodeBench/386,2,0.9847737
fold_0,test,BigCodeBench/386,3,0.9959334
fold_0,test,BigCodeBench/569,1,0.98876333
fold_0,test,BigCodeBench/569,2,0.98076296
