fold,split,task_id,distances,distances_norm
fold_0,fit,BigCodeBench/627,[160],[0.3448275862068966]
fold_0,fit,BigCodeBench/425,[405],[0.75]
fold_0,fit,BigCodeBench/1021,[173],[0.3197781885397412]
fold_0,fit,BigCodeBench/651,[405],[0.8766233766233766]
fold_0,fit,BigCodeBench/158,[615],[1.824925816023739]
fold_0,fit,BigCodeBench/90,[315],[0.3539325842696629]
fold_0,fit,BigCodeBench/793,[194],[0.610062893081761]
fold_0,fit,BigCodeBench/84,[1030],[0.6816677696889477]
fold_0,fit,BigCodeBench/474,[491],[0.7868589743589743]
fold_0,fit,BigCodeBench/434,[586],[0.5830845771144278]
fold_0,fit,BigCodeBench/290,[500],[0.8865248226950354]
fold_0,fit,BigCodeBench/1103,[421],[0.8127413127413128]
fold_0,fit,BigCodeBench/1019,[575],[0.5502392344497608]
fold_0,fit,BigCodeBench/387,[508],[0.7195467422096318]
fold_0,fit,BigCodeBench/181,[75],[0.25]
fold_0,fit,BigCodeBench/385,[364],[0.7193675889328063]
fold_0,fit,BigCodeBench/463,[310],[0.8781869688385269]
fold_0,fit,BigCodeBench/801,[492],[0.6657645466847091]
fold_0,fit,BigCodeBench/473,[425],[0.8095238095238095]
fold_0,fit,BigCodeBench/800,[552],[0.5168539325842697]
fold_0,fit,BigCodeBench/601,[446],[0.5930851063829787]
fold_0,fit,BigCodeBench/248,[360],[0.8450704225352113]
fold_0,fit,BigCodeBench/39,[471],[0.71580547112462]
fold_0,fit,BigCodeBench/44,[533],[1.625]
fold_0,fit,BigCodeBench/322,[370],[0.5354558610709117]
fold_0,fit,BigCodeBench/449,[602],[0.9333333333333333]
fold_0,fit,BigCodeBench/94,[170],[0.3177570093457944]
fold_0,fit,BigCodeBench/1004,[280],[0.47538200339558573]
fold_0,fit,BigCodeBench/901,[178],[0.42788461538461536]
fold_0,fit,BigCodeBench/152,[252],[0.41042345276872966]
fold_0,fit,BigCodeBench/765,[217],[0.45588235294117646]
fold_0,fit,BigCodeBench/964,[857],[0.5774932614555256]
fold_0,fit,BigCodeBench/835,[51],[0.15987460815047022]
fold_0,fit,BigCodeBench/1071,[174],[0.4213075060532688]
fold_0,fit,BigCodeBench/570,[699],[1.59954233409611]
fold_0,fit,BigCodeBench/372,[310],[0.6858407079646017]
fold_0,fit,BigCodeBench/79,[364],[0.6408450704225352]
fold_0,fit,BigCodeBench/1046,[177],[0.46949602122015915]
fold_0,fit,BigCodeBench/6,[322],[1.0254777070063694]
fold_0,fit,BigCodeBench/12,[714],[0.9153846153846154]
fold_0,fit,BigCodeBench/942,[388],[0.41541755888650966]
fold_0,fit,BigCodeBench/65,[351],[0.7597402597402597]
fold_0,fit,BigCodeBench/231,[389],[0.43905191873589167]
fold_0,fit,BigCodeBench/1090,[247],[0.5404814004376368]
fold_0,fit,BigCodeBench/576,[298],[0.5498154981549815]
fold_0,validate,BigCodeBench/728,[317],[0.43306010928961747]
fold_0,validate,BigCodeBench/1098,[257],[1.117391304347826]
fold_0,validate,BigCodeBench/871,[371],[0.5993537964458805]
fold_0,validate,BigCodeBench/503,[340],[0.46703296703296704]
fold_0,validate,BigCodeBench/1067,[383],[0.49039692701664533]
fold_0,validate,BigCodeBench/255,[492],[1.3085106382978724]
fold_0,validate,BigCodeBench/468,[443],[1.9177489177489178]
fold_0,validate,BigCodeBench/802,[204],[0.4646924829157175]
fold_0,validate,BigCodeBench/1066,[333],[0.4416445623342175]
fold_0,validate,BigCodeBench/356,[453],[0.515358361774744]
fold_0,validate,BigCodeBench/457,[614],[1.7953216374269005]
fold_0,validate,BigCodeBench/56,[373],[0.9738903394255874]
fold_0,validate,BigCodeBench/810,[766],[1.2745424292845258]
fold_0,validate,BigCodeBench/324,[447],[0.8481973434535104]
fold_0,validate,BigCodeBench/899,[112],[0.35782747603833864]
fold_0,validate,BigCodeBench/1016,[711],[0.7547770700636943]
fold_0,validate,BigCodeBench/235,[473],[0.572639225181598]
fold_0,validate,BigCodeBench/428,[252],[0.35294117647058826]
fold_0,validate,BigCodeBench/190,[426],[0.49248554913294795]
fold_0,validate,BigCodeBench/319,[324],[0.7120879120879121]
fold_0,validate,BigCodeBench/155,[111],[0.30578512396694213]
fold_0,validate,BigCodeBench/31,[500],[0.8665511265164645]
fold_0,validate,BigCodeBench/509,[906],[0.6868840030326004]
fold_0,validate,BigCodeBench/564,[398],[0.738404452690167]
fold_0,validate,BigCodeBench/522,[578],[0.6598173515981736]
fold_0,validate,BigCodeBench/267,[234],[0.4406779661016949]
fold_0,validate,BigCodeBench/737,[479],[0.6047979797979798]
fold_0,validate,BigCodeBench/723,[508],[0.7673716012084593]
fold_0,validate,BigCodeBench/182,[268],[0.504708097928437]
fold_0,validate,BigCodeBench/378,[436],[0.464818763326226]
fold_0,validate,BigCodeBench/617,[554],[0.4597510373443983]
fold_0,validate,BigCodeBench/526,[372],[0.5383502170767004]
fold_0,validate,BigCodeBench/892,[141],[0.4577922077922078]
fold_0,validate,BigCodeBench/935,[325],[0.626204238921002]
fold_0,validate,BigCodeBench/242,[496],[0.6115906288532675]
