fold,split,task_id,impl_index,distance,distance_norm
fold_0,fit,BigCodeBench/627,1,160,0.3448275862068966
fold_0,fit,BigCodeBench/425,1,405,0.75
fold_0,fit,BigCodeBench/1021,1,173,0.3197781885397412
fold_0,fit,BigCodeBench/651,1,405,0.8766233766233766
fold_0,fit,BigCodeBench/158,1,615,1.824925816023739
fold_0,fit,BigCodeBench/90,1,315,0.3539325842696629
fold_0,fit,BigCodeBench/793,1,194,0.610062893081761
fold_0,fit,BigCodeBench/84,1,1030,0.6816677696889477
fold_0,fit,BigCodeBench/474,1,491,0.7868589743589743
fold_0,fit,BigCodeBench/434,1,586,0.5830845771144278
fold_0,fit,BigCodeBench/290,1,500,0.8865248226950354
fold_0,fit,BigCodeBench/1103,1,421,0.8127413127413128
fold_0,fit,BigCodeBench/1019,1,575,0.5502392344497608
fold_0,fit,BigCodeBench/387,1,508,0.7195467422096318
fold_0,fit,BigCodeBench/181,1,75,0.25
fold_0,fit,BigCodeBench/385,1,364,0.7193675889328063
fold_0,fit,BigCodeBench/463,1,310,0.8781869688385269
fold_0,fit,BigCodeBench/801,1,492,0.6657645466847091
fold_0,fit,BigCodeBench/473,1,425,0.8095238095238095
fold_0,fit,BigCodeBench/800,1,552,0.5168539325842697
fold_0,fit,BigCodeBench/601,1,446,0.5930851063829787
fold_0,fit,BigCodeBench/248,1,360,0.8450704225352113
fold_0,fit,BigCodeBench/39,1,471,0.71580547112462
fold_0,fit,BigCodeBench/44,1,533,1.625
fold_0,fit,BigCodeBench/322,1,370,0.5354558610709117
fold_0,fit,BigCodeBench/449,1,602,0.9333333333333333
fold_0,fit,BigCodeBench/94,1,170,0.3177570093457944
fold_0,fit,BigCodeBench/1004,1,280,0.47538200339558573
fold_0,fit,BigCodeBench/901,1,178,0.42788461538461536
fold_0,fit,BigCodeBench/152,1,252,0.41042345276872966
fold_0,fit,BigCodeBench/765,1,217,0.45588235294117646
fold_0,fit,BigCodeBench/964,1,857,0.5774932614555256
fold_0,fit,BigCodeBench/835,1,51,0.15987460815047022
fold_0,fit,BigCodeBench/1071,1,174,0.4213075060532688
fold_0,fit,BigCodeBench/570,1,699,1.59954233409611
fold_0,fit,BigCodeBench/372,1,310,0.6858407079646017
fold_0,fit,BigCodeBench/79,1,364,0.6408450704225352
fold_0,fit,BigCodeBench/1046,1,177,0.46949602122015915
fold_0,fit,BigCodeBench/6,1,322,1.0254777070063694
fold_0,fit,BigCodeBench/12,1,714,0.9153846153846154
fold_0,fit,BigCodeBench/942,1,388,0.41541755888650966
fold_0,fit,BigCodeBench/65,1,351,0.7597402597402597
fold_0,fit,BigCodeBench/231,1,389,0.43905191873589167
fold_0,fit,BigCodeBench/1090,1,247,0.5404814004376368
fold_0,fit,BigCodeBench/576,1,298,0.5498154981549815
fold_0,validate,BigCodeBench/728,1,317,0.43306010928961747
fold_0,validate,BigCodeBench/1098,1,257,1.117391304347826
fold_0,validate,BigCodeBench/871,1,371,0.5993537964458805
fold_0,validate,BigCodeBench/503,1,340,0.46703296703296704
fold_0,validate,BigCodeBench/1067,1,383,0.49039692701664533
fold_0,validate,BigCodeBench/255,1,492,1.3085106382978724
fold_0,validate,BigCodeBench/468,1,443,1.9177489177489178
fold_0,validate,BigCodeBench/802,1,204,0.4646924829157175
fold_0,validate,BigCodeBench/1066,1,333,0.4416445623342175
fold_0,validate,BigCodeBench/356,1,453,0.515358361774744
fold_0,validate,BigCodeBench/457,1,614,1.7953216374269005
fold_0,validate,BigCodeBench/56,1,373,0.9738903394255874
fold_0,validate,BigCodeBench/810,1,766,1.2745424292845258
fold_0,validate,BigCodeBench/324,1,447,0.8481973434535104
fold_0,validate,BigCodeBench/899,1,112,0.35782747603833864
fold_0,validate,BigCodeBench/1016,1,711,0.7547770700636943
fold_0,validate,BigCodeBench/235,1,473,0.572639225181598
