fold,split,task_id,sims,distances,distances_norm
fold_0,fit,BigCodeBench/627,[0.9960549],[160],[0.3448275862068966]
fold_0,fit,BigCodeBench/425,[0.9892604],[405],[0.75]
fold_0,fit,BigCodeBench/1021,[0.99700046],[173],[0.3197781885397412]
fold_0,fit,BigCodeBench/651,[0.98702216],[405],[0.8766233766233766]
fold_0,fit,BigCodeBench/158,[0.94176936],[615],[1.824925816023739]
fold_0,fit,BigCodeBench/90,[0.99569535],[315],[0.3539325842696629]
fold_0,fit,BigCodeBench/793,[0.9946239],[194],[0.610062893081761]
fold_0,fit,BigCodeBench/84,[0.9984081],[1030],[0.6816677696889477]
fold_0,fit,BigCodeBench/474,[0.9925102],[491],[0.7868589743589743]
fold_0,fit,BigCodeBench/434,[0.9956054],[586],[0.5830845771144278]
fold_0,fit,BigCodeBench/290,[0.97626173],[500],[0.8865248226950354]
fold_0,fit,BigCodeBench/1103,[0.98220676],[421],[0.8127413127413128]
fold_0,fit,BigCodeBench/1019,[0.99732274],[575],[0.5502392344497608]
fold_0,fit,BigCodeBench/387,[0.9910227],[508],[0.7195467422096318]
fold_0,fit,BigCodeBench/181,[0.9952094],[75],[0.25]
fold_0,fit,BigCodeBench/385,[0.9879762],[364],[0.7193675889328063]
fold_0,fit,BigCodeBench/463,[0.98896456],[310],[0.8781869688385269]
fold_0,fit,BigCodeBench/801,[0.9866001],[492],[0.6657645466847091]
fold_0,fit,BigCodeBench/473,[0.98789424],[425],[0.8095238095238095]
fold_0,fit,BigCodeBench/800,[0.98796695],[552],[0.5168539325842697]
fold_0,fit,BigCodeBench/601,[0.988863],[446],[0.5930851063829787]
fold_0,fit,BigCodeBench/248,[0.9874482],[360],[0.8450704225352113]
fold_0,fit,BigCodeBench/39,[0.9854618],[471],[0.71580547112462]
fold_0,fit,BigCodeBench/44,[0.96427363],[533],[1.625]
fold_0,fit,BigCodeBench/322,[0.9934503],[370],[0.5354558610709117]
fold_0,fit,BigCodeBench/449,[0.9883871],[602],[0.9333333333333333]
fold_0,fit,BigCodeBench/94,[0.99767363],[170],[0.3177570093457944]
fold_0,fit,BigCodeBench/1004,[0.99336445],[280],[0.47538200339558573]
fold_0,fit,BigCodeBench/901,[0.9622343],[178],[0.42788461538461536]
fold_0,fit,BigCodeBench/152,[0.9957715],[252],[0.41042345276872966]
fold_0,fit,BigCodeBench/765,[0.9924959],[217],[0.45588235294117646]
fold_0,fit,BigCodeBench/964,[0.9977065],[857],[0.5774932614555256]
fold_0,fit,BigCodeBench/835,[0.99668354],[51],[0.15987460815047022]
fold_0,fit,BigCodeBench/1071,[0.99195635],[174],[0.4213075060532688]
fold_0,fit,BigCodeBench/570,[0.9615502],[699],[1.59954233409611]
fold_0,fit,BigCodeBench/372,[0.98500454],[310],[0.6858407079646017]
fold_0,fit,BigCodeBench/79,[0.98781735],[364],[0.6408450704225352]
fold_0,fit,BigCodeBench/1046,[0.99174124],[177],[0.46949602122015915]
fold_0,fit,BigCodeBench/6,[0.9529389],[322],[1.0254777070063694]
fold_0,fit,BigCodeBench/12,[0.98650825],[714],[0.9153846153846154]
fold_0,fit,BigCodeBench/942,[0.99685156],[388],[0.41541755888650966]
fold_0,fit,BigCodeBench/65,[0.98852396],[351],[0.7597402597402597]
fold_0,fit,BigCodeBench/231,[0.9968441],[389],[0.43905191873589167]
fold_0,fit,BigCodeBench/1090,[0.99247813],[247],[0.5404814004376368]
fold_0,fit,BigCodeBench/576,[0.9808204],[298],[0.5498154981549815]
fold_0,validate,BigCodeBench/728,[0.993241],[317],[0.43306010928961747]
fold_0,validate,BigCodeBench/1098,[0.98262566],[257],[1.117391304347826]
fold_0,validate,BigCodeBench/871,[0.99339306],[371],[0.5993537964458805]
fold_0,validate,BigCodeBench/503,[0.993232],[340],[0.46703296703296704]
fold_0,validate,BigCodeBench/1067,[0.99395454],[383],[0.49039692701664533]
fold_0,validate,BigCodeBench/255,[0.9765167],[492],[1.3085106382978724]
fold_0,validate,BigCodeBench/468,[0.96820647],[443],[1.9177489177489178]
fold_0,validate,BigCodeBench/802,[0.9849731],[204],[0.4646924829157175]
fold_0,validate,BigCodeBench/1066,[0.9948799],[333],[0.4416445623342175]
fold_0,validate,BigCodeBench/356,[0.99462366],[453],[0.515358361774744]
fold_0,validate,BigCodeBench/457,[0.94858027],[614],[1.7953216374269005]
fold_0,validate,BigCodeBench/56,[0.9710612],[373],[0.9738903394255874]
fold_0,validate,BigCodeBench/810,[0.98283935],[766],[1.2745424292845258]
fold_0,validate,BigCodeBench/324,[0.985431],[447],[0.8481973434535104]
fold_0,validate,BigCodeBench/899,[0.99213314],[112],[0.35782747603833864]
fold_0,validate,BigCodeBench/1016,[0.9927572],[711],[0.7547770700636943]
fold_0,validate,BigCodeBench/235,[0.9926621],[473],[0.572639225181598]
fold_0,validate,BigCodeBench/428,[0.99052405],[252],[0.35294117647058826]
